,location,total_sqft,bath,balcony,price,bhk
2684,Haralur Road,1315.0,2.0,1.0,85.0,2.0
2686,Haralur Road,1300.0,2.0,2.0,75.0,2.0
2687,Haralur Road,1309.0,2.0,1.0,82.0,2.0
2692,Haralur Road,1300.0,2.0,1.0,75.0,2.0
2695,Haralur Road,1230.0,2.0,1.0,67.65,2.0
2699,Haralur Road,1255.0,3.0,1.0,90.0,3.0
2700,Haralur Road,1735.0,3.0,2.0,97.0,3.0
2701,Haralur Road,1810.0,3.0,2.0,97.83,3.0
2704,Haralur Road,1810.0,3.0,2.0,112.0,3.0
2706,Harlur,1752.12,3.0,2.0,135.0,3.0
2709,Harlur,1709.0,3.0,2.0,150.0,3.0
2710,Harlur,1174.0,2.0,1.0,69.0,2.0
2712,Harlur,1197.0,2.0,1.0,84.0,2.0
2713,Harlur,1757.0,3.0,2.0,132.0,3.0
2714,Harlur,1174.0,2.0,1.0,76.0,2.0
2715,Harlur,1754.0,3.0,2.0,125.0,3.0
2716,Harlur,1290.0,2.0,1.0,85.0,2.0
2717,Harlur,1752.12,3.0,2.0,116.0,3.0
2718,Harlur,1754.0,3.0,2.0,135.0,3.0
2719,Harlur,1754.0,3.0,2.0,124.0,3.0
2720,Harlur,1152.0,2.0,2.0,69.0,2.0
2721,Harlur,1290.0,2.0,1.0,87.0,2.0
2722,Harlur,1749.0,3.0,2.0,115.0,3.0
2723,Harlur,3385.0,4.0,2.0,260.0,4.0
2724,Harlur,2240.0,5.0,2.0,155.0,3.0
2725,Harlur,1758.0,3.0,2.0,133.0,3.0
2726,Harlur,1884.0,4.0,2.0,120.0,4.0
2727,Harlur,1197.0,2.0,1.0,79.0,2.0
2728,Harlur,1174.0,2.0,1.0,78.0,2.0
2729,Harlur,1730.0,3.0,2.0,100.0,3.0
2731,Harlur,1197.0,2.0,1.0,79.0,2.0
2732,Harlur,1749.0,3.0,2.0,112.0,3.0
2733,Harlur,1174.0,2.0,1.0,75.0,2.0
2734,Harlur,1750.0,3.0,2.0,136.0,3.0
2735,Harlur,1620.0,3.0,1.0,110.0,3.0
2736,Harlur,1414.0,3.0,2.0,77.5,3.0
2737,Harlur,1630.0,3.0,1.0,95.1,3.0
2738,Harlur,1459.0,3.0,2.0,135.0,3.0
2739,Harlur,1762.0,3.0,2.0,133.0,3.0
2740,Harlur,1756.0,3.0,2.0,131.0,3.0
2741,Harlur,1755.0,3.0,2.0,130.0,3.0
2742,Harlur,1864.0,3.0,1.0,140.0,3.0
2743,Harlur,1331.0,2.0,1.0,88.0,2.0
2744,Harlur,1752.12,3.0,2.0,133.0,3.0
2746,Harlur,1756.0,3.0,2.0,128.0,3.0
2747,Harlur,1749.0,3.0,2.0,120.0,3.0
2748,Harlur,1197.0,2.0,1.0,82.0,2.0
2749,Harlur,1303.0,2.0,1.0,90.0,2.0
2750,Harlur,1754.0,3.0,2.0,132.0,3.0
2751,Harlur,1174.0,2.0,1.0,75.0,2.0
2752,Harlur,1756.0,3.0,2.0,134.0,3.0
2753,Harlur,1197.0,2.0,1.0,78.0,2.0
2754,Harlur,1290.0,2.0,1.0,89.9,2.0
2755,Harlur,1386.0,2.0,2.0,85.0,2.0
2756,Harlur,1174.0,2.0,1.0,74.0,2.0
2757,Harlur,1174.0,2.0,1.0,78.0,2.0
2759,Harlur,1755.0,3.0,2.0,115.0,3.0
2760,Harlur,2569.0,4.0,1.0,175.0,4.0
2762,Harlur,1197.0,2.0,1.0,77.0,2.0
2763,Harlur,1752.12,3.0,2.0,125.0,3.0
2764,Harlur,2569.0,5.0,3.0,180.0,4.0
2766,Harlur,1197.0,2.0,1.0,76.0,2.0
2768,Harlur,1197.0,2.0,1.0,75.0,2.0
2769,Harlur,1755.0,3.0,2.0,117.0,3.0
2770,Harlur,1197.0,2.0,1.0,79.9,2.0
2772,Harlur,2990.0,4.0,1.0,225.0,4.0
2773,Harlur,1370.0,2.0,2.0,88.0,2.0
2774,Hebbal,1760.0,2.0,2.0,123.0,3.0
2775,Hebbal,1900.0,3.0,2.0,119.0,3.0
2776,Hebbal,1349.0,2.0,1.0,98.2,2.0
2777,Hebbal,2483.0,5.0,2.0,212.0,4.0
2778,Hebbal,1760.0,2.0,2.0,130.0,3.0
2779,Hebbal,3450.0,5.0,2.0,260.0,3.0
2780,Hebbal,1920.0,3.0,2.0,134.0,3.0
2781,Hebbal,1337.0,2.0,1.0,82.0,2.0
2782,Hebbal,1349.0,2.0,1.0,98.0,2.0
2784,Hebbal,1255.0,2.0,1.0,77.68,3.0
2785,Hebbal,1355.0,3.0,1.0,83.87,3.0
2786,Hebbal,1790.0,3.0,2.0,127.0,3.0
2787,Hebbal,2790.0,5.0,3.0,198.0,4.0
2788,Hebbal,1985.0,4.0,2.0,189.0,3.0
2789,Hebbal,2483.0,5.0,2.0,215.0,4.0
2791,Hebbal,812.0,2.0,2.0,55.0,2.0
2792,Hebbal,2790.0,4.0,3.0,198.0,4.0
2794,Hebbal,3067.0,4.0,2.0,230.0,4.0
2796,Hebbal,2526.0,2.0,2.0,250.0,3.0
2797,Hebbal,3067.0,4.0,3.0,230.0,4.0
2798,Hebbal,1255.0,2.0,1.0,77.68,3.0
2799,Hebbal,823.0,2.0,1.0,50.63,2.0
2800,Hebbal,1420.0,2.0,1.0,123.0,2.0
2801,Hebbal,1069.0,3.0,2.0,65.4,3.0
2802,Hebbal,1420.0,2.0,1.0,99.39,2.0
2803,Hebbal,4235.0,4.0,2.0,365.0,4.0
2804,Hebbal,1700.0,3.0,2.0,124.0,3.0
2805,Hebbal,3960.0,5.0,3.0,386.0,4.0
2807,Hebbal,1420.0,2.0,1.0,99.39,2.0
2808,Hebbal,1355.0,3.0,1.0,83.87,3.0
2809,Hebbal,1440.0,2.0,1.0,115.0,2.0
2811,Hebbal,1355.0,3.0,1.0,83.87,3.0
2812,Hebbal,2400.0,4.0,1.0,180.0,3.0
2813,Hebbal,1255.0,2.0,1.0,77.68,3.0
2814,Hebbal,1420.0,2.0,2.0,107.0,2.0
2815,Hebbal,1320.0,2.0,1.0,92.0,2.0
2817,Hebbal,1645.0,3.0,2.0,135.0,3.0
2818,Hebbal,2080.0,3.0,3.0,175.0,3.0
2819,Hebbal,1355.0,3.0,2.0,83.87,3.0
2820,Hebbal,2483.0,5.0,2.0,230.0,4.0
2821,Hebbal,2600.0,3.0,2.0,195.0,3.0
2822,Hebbal,1645.0,3.0,2.0,117.0,3.0
2823,Hebbal,1251.0,2.0,1.0,88.73,2.0
2824,Hebbal,1645.0,3.0,2.0,121.0,3.0
2825,Hebbal,1760.0,3.0,2.0,123.0,3.0
2826,Hebbal,2790.0,4.0,3.0,198.0,4.0
2827,Hebbal,3960.0,5.0,3.0,386.0,4.0
2828,Hebbal,1645.0,3.0,2.0,120.0,3.0
2829,Hebbal,1255.0,2.0,1.0,90.0,3.0
2830,Hebbal,1645.0,3.0,2.0,117.0,3.0
2831,Hebbal,1255.0,3.0,2.0,77.68,3.0
2832,Hebbal,1586.0,3.0,2.0,90.0,3.0
2833,Hebbal,1636.0,3.0,1.0,119.0,3.0
2834,Hebbal,1255.0,2.0,1.0,95.0,3.0
2835,Hebbal,2790.0,4.0,3.0,198.0,4.0
2836,Hebbal,1269.0,2.0,1.0,73.0,3.0
2837,Hebbal,1255.0,2.0,1.0,95.0,3.0
2838,Hebbal,1088.0,2.0,2.0,61.45,2.0
2839,Hebbal,1349.0,2.0,1.0,97.8,2.0
2840,Hebbal,1255.0,3.0,2.0,77.68,3.0
2841,Hebbal,1344.0,2.0,1.0,108.0,2.0
2842,Hebbal,1255.0,2.0,1.0,90.0,3.0
2843,Hebbal,1255.0,3.0,2.0,77.68,3.0
2844,Hebbal,1138.0,2.0,1.0,110.0,2.0
2845,Hebbal,2790.0,5.0,3.0,204.0,4.0
2846,Hebbal,1088.0,2.0,2.0,62.0,2.0
2847,Hebbal,1987.0,4.0,2.0,165.0,3.0
2848,Hebbal,2790.0,5.0,3.0,198.0,4.0
2849,Hebbal,1299.0,2.0,1.0,100.0,2.0
2851,Hebbal,1645.0,3.0,2.0,117.0,3.0
2852,Hebbal,1390.0,2.0,2.0,95.0,2.0
2853,Hebbal,1333.0,2.0,1.0,100.0,2.0
2854,Hebbal,1355.0,3.0,2.0,83.87,3.0
2855,Hebbal,2650.0,4.0,3.0,199.0,3.0
2856,Hebbal,1800.0,3.0,2.0,140.0,3.0
2858,Hebbal,2470.0,4.0,2.0,203.0,4.0
2859,Hebbal,1255.0,2.0,1.0,95.0,3.0
2860,Hebbal,1333.0,2.0,1.0,104.0,2.0
2861,Hebbal,1645.0,3.0,2.0,117.0,3.0
2862,Hebbal,2600.0,3.0,2.0,199.0,3.0
2863,Hebbal,1345.0,2.0,1.0,97.0,2.0
2864,Hebbal,1110.0,3.0,3.0,59.0,3.0
2865,Hebbal,985.0,2.0,2.0,62.0,2.0
2866,Hebbal,1320.0,2.0,1.0,91.0,2.0
2867,Hebbal,2388.0,3.0,1.0,195.0,3.0
2870,Hebbal,2600.0,3.0,2.0,195.0,3.0
2872,Hebbal,2790.0,5.0,3.0,198.0,4.0
2873,Hebbal,1645.0,3.0,2.0,113.0,3.0
2874,Hebbal,1355.0,3.0,2.0,83.87,3.0
2875,Hebbal,1420.0,2.0,1.0,99.39,2.0
2876,Hebbal,1590.0,3.0,2.0,96.0,3.0
2877,Hebbal,3520.0,5.0,2.0,320.0,3.0
2878,Hebbal,1162.0,2.0,1.0,69.0,2.0
2879,Hebbal,1100.0,2.0,1.0,60.0,2.0
2880,Hebbal,4235.0,5.0,3.0,364.0,4.0
2881,Hebbal,1299.0,2.0,1.0,97.0,2.0
2882,Hebbal,1255.0,3.0,2.0,77.68,3.0
2883,Hebbal,2470.0,5.0,2.0,192.0,4.0
2884,Hebbal,1645.0,3.0,2.0,117.0,3.0
2885,Hebbal,1920.0,3.0,2.0,134.0,3.0
2886,Hebbal,3520.0,5.0,2.0,240.0,3.0
2887,Hebbal,1920.0,3.0,2.0,150.0,3.0
2888,Hebbal,2375.0,4.0,2.0,189.0,4.0
2889,Hebbal,1420.0,2.0,1.0,99.26,2.0
2890,Hebbal,1252.0,2.0,1.0,92.0,2.0
2891,Hebbal,2790.0,4.0,3.0,198.0,4.0
2893,Hebbal,1294.0,2.0,1.0,115.0,2.0
2895,Hebbal,1740.0,2.0,1.0,137.0,3.0
2896,Hebbal,1430.0,3.0,1.0,85.0,3.0
2897,Hebbal,1662.0,3.0,2.0,155.0,3.0
2898,Hebbal,2250.0,3.0,2.0,219.0,3.0
2899,Hebbal,1349.0,2.0,1.0,98.0,2.0
2900,Hebbal,4000.0,6.0,1.0,370.0,4.0
2901,Hebbal,1349.0,2.0,1.0,96.8,2.0
2902,Hebbal Kempapura,1700.0,3.0,2.0,155.0,3.0
2903,Hebbal Kempapura,1800.0,3.0,2.0,175.0,3.0
2904,Hebbal Kempapura,2900.0,4.0,2.0,300.0,3.0
2905,Hebbal Kempapura,3522.0,3.0,2.0,380.0,3.0
2906,Hebbal Kempapura,2280.0,5.0,2.0,200.0,5.0
2907,Hebbal Kempapura,1200.0,2.0,1.0,125.0,2.0
2908,Hebbal Kempapura,2900.0,4.0,2.0,240.0,3.0
2909,Hebbal Kempapura,3900.0,5.0,2.0,360.0,4.0
2910,Hebbal Kempapura,1300.0,2.0,2.0,102.0,2.0
2911,Hebbal Kempapura,1466.0,2.0,3.0,140.0,3.0
2912,Hebbal Kempapura,3900.0,5.0,2.0,310.0,4.0
2913,Hebbal Kempapura,1725.0,2.0,1.0,165.0,3.0
2914,Hebbal Kempapura,1200.0,3.0,2.0,125.0,3.0
2915,Hebbal Kempapura,3408.0,3.0,3.0,260.0,3.0
2916,Hebbal Kempapura,1485.0,3.0,3.0,132.0,2.0
2917,Hebbal Kempapura,1400.0,2.0,2.0,108.0,2.0
2918,Hebbal Kempapura,1800.0,3.0,3.0,150.0,3.0
2919,Hebbal Kempapura,2400.0,5.0,2.0,200.0,5.0
2921,Hebbal Kempapura,1785.0,3.0,0.0,165.0,3.0
2922,Hebbal Kempapura,3729.0,4.0,2.0,384.0,4.0
2923,Hebbal Kempapura,1600.0,3.0,3.0,170.0,3.0
2924,Hebbal Kempapura,1730.0,3.0,2.0,175.0,3.0
2925,Hebbal Kempapura,2485.0,4.0,2.0,198.0,4.0
2926,Hegde Nagar,1569.0,3.0,1.0,101.0,3.0
2928,Hegde Nagar,2026.0,3.0,2.0,132.0,3.0
2929,Hegde Nagar,1801.0,3.0,2.0,115.0,3.0
2931,Hegde Nagar,1341.0,2.0,1.0,97.0,2.0
2932,Hegde Nagar,2112.95,4.0,2.0,145.0,3.0
2933,Hegde Nagar,1200.0,4.0,1.0,83.0,4.0
2934,Hegde Nagar,1703.0,3.0,2.0,113.0,3.0
2935,Hegde Nagar,1570.0,3.0,1.0,105.0,3.0
2936,Hegde Nagar,1801.0,3.0,2.0,140.0,3.0
2937,Hegde Nagar,1584.01,3.0,1.0,103.0,3.0
2938,Hegde Nagar,1965.0,4.0,2.0,125.0,3.0
2939,Hegde Nagar,1200.0,2.0,0.0,75.0,2.0
2940,Hegde Nagar,1847.0,3.0,2.0,135.0,3.0
2941,Hegde Nagar,1965.0,4.0,2.0,132.0,3.0
2942,Hegde Nagar,1703.0,3.0,2.0,125.0,3.0
2943,Hegde Nagar,1847.0,3.0,2.0,125.0,3.0
2944,Hegde Nagar,2144.6,4.0,2.0,145.0,3.0
2945,Hegde Nagar,1718.0,3.0,2.0,119.0,3.0
2946,Hegde Nagar,1847.0,3.0,2.0,123.0,3.0
2947,Hegde Nagar,1340.0,2.0,2.0,72.0,2.0
2948,Hegde Nagar,2087.01,3.0,2.0,115.0,3.0
2949,Hegde Nagar,1703.0,3.0,2.0,130.0,3.0
2950,Hegde Nagar,2087.01,4.0,2.0,135.0,3.0
2951,Hegde Nagar,1718.0,3.0,2.0,130.0,3.0
2952,Hegde Nagar,1884.0,4.0,2.0,118.0,3.0
2953,Hegde Nagar,1930.0,4.0,2.0,122.0,3.0
2954,Hegde Nagar,1584.01,3.0,1.0,104.0,3.0
2955,Hegde Nagar,1168.0,2.0,1.0,68.0,3.0
2956,Hegde Nagar,2162.03,4.0,2.0,129.0,3.0
2957,Hegde Nagar,2087.01,4.0,2.0,160.0,3.0
2958,Hegde Nagar,1000.0,2.0,0.0,66.0,2.0
2959,Hegde Nagar,1348.0,2.0,2.0,80.5,3.0
2968,Hennur,1100.0,2.0,1.0,60.0,2.0
2980,Hennur,2400.0,3.0,2.0,135.0,3.0
2999,Hennur,1830.0,2.0,3.0,113.0,3.0
3005,Hennur Road,2089.0,3.0,2.0,140.0,3.0
3006,Hennur Road,5000.0,8.0,2.0,250.0,8.0
3007,Hennur Road,1385.0,2.0,1.0,83.09,2.0
3009,Hennur Road,2264.0,3.0,1.0,159.0,3.0
3010,Hennur Road,1157.0,2.0,1.0,84.0,2.0
3011,Hennur Road,1904.0,3.0,2.0,120.0,3.0
3012,Hennur Road,1891.0,3.0,1.0,109.0,3.0
3013,Hennur Road,1561.0,3.0,2.0,95.0,3.0
3015,Hennur Road,2060.0,3.0,1.0,149.0,3.0
3016,Hennur Road,1482.0,2.0,1.0,92.0,3.0
3017,Hennur Road,1232.0,2.0,2.0,89.0,2.0
3019,Hennur Road,1482.0,2.0,2.0,83.73,3.0
3020,Hennur Road,1482.0,2.0,1.0,87.0,3.0
3021,Hennur Road,1891.0,3.0,1.0,139.0,3.0
3022,Hennur Road,1703.0,3.0,2.0,101.0,3.0
3023,Hennur Road,1232.0,2.0,0.0,69.61,2.0
3025,Hennur Road,1804.0,3.0,2.0,102.0,3.0
3026,Hennur Road,2160.0,3.0,2.0,160.0,3.0
3027,Hennur Road,1186.0,2.0,1.0,63.0,3.0
3028,Hennur Road,1680.0,3.0,2.0,99.27,3.0
3030,Hennur Road,1385.0,2.0,1.0,83.09,2.0
3032,Hennur Road,2350.0,3.0,2.0,174.0,3.0
3033,Hennur Road,1586.0,3.0,3.0,93.94,3.0
3034,Hennur Road,1975.0,3.0,3.0,123.0,3.0
3035,Hennur Road,1290.0,2.0,1.0,94.5,3.0
3036,Hennur Road,901.0,2.0,1.0,49.5,2.0
3037,Hennur Road,1445.0,3.0,1.0,86.56,3.0
3038,Hennur Road,1482.0,2.0,3.0,97.0,3.0
3039,Hennur Road,1182.0,2.0,2.0,82.5,2.0
3041,Hennur Road,1036.0,2.0,1.0,59.46,2.0
3042,Hennur Road,1891.0,3.0,1.0,109.0,3.0
3043,Hennur Road,1232.0,2.0,1.0,69.61,2.0
3044,Hennur Road,1804.0,3.0,2.0,102.0,3.0
3045,Hennur Road,2320.0,3.0,2.0,170.0,3.0
3046,Hennur Road,1936.0,3.0,1.0,118.0,3.0
3048,Hennur Road,1590.0,3.0,2.0,96.5,3.0
3049,Hennur Road,1445.0,2.0,1.0,105.0,3.0
3050,Hennur Road,1036.0,2.0,1.0,59.45,2.0
3051,Hennur Road,1832.0,3.0,1.0,125.0,3.0
3052,Hennur Road,1359.0,2.0,2.0,104.0,2.0
3053,Hennur Road,1341.0,2.0,1.0,75.76,2.0
3055,Hennur Road,1685.0,3.0,2.0,95.0,3.0
3056,Hennur Road,1414.0,2.0,2.0,84.18,2.0
3057,Hennur Road,1949.0,3.0,1.0,133.0,3.0
3058,Hennur Road,1232.0,2.0,2.0,89.0,2.0
3059,Hennur Road,1250.0,2.0,1.0,77.88,3.0
3060,Hennur Road,2502.0,4.0,2.0,180.0,4.0
3061,Hennur Road,1831.0,3.0,1.0,110.0,3.0
3062,Hennur Road,1232.0,2.0,1.0,87.0,2.0
3063,Hennur Road,1232.0,2.0,1.0,74.0,2.0
3064,Hennur Road,1232.0,2.0,1.0,66.0,2.0
3065,Hennur Road,1341.0,2.0,1.0,95.0,2.0
3066,Hennur Road,2700.0,3.0,2.0,150.0,3.0
3067,Hennur Road,1232.0,2.0,1.0,88.0,2.0
3068,Hennur Road,2365.0,4.0,2.0,175.0,3.0
3073,Hennur Road,2264.0,3.0,2.0,168.0,3.0
3074,Hennur Road,2002.0,3.0,2.0,120.0,3.0
3075,Hennur Road,1232.0,2.0,1.0,69.6,2.0
3076,Hennur Road,1195.0,2.0,2.0,73.0,2.0
3082,Hennur Road,2041.0,3.0,3.0,128.0,3.0
3083,Hennur Road,1232.0,2.0,1.0,87.0,2.0
3085,Hennur Road,973.0,2.0,1.0,56.0,2.0
3086,Hennur Road,1255.0,2.0,1.0,84.0,2.0
3087,Hennur Road,1232.0,2.0,1.0,83.0,2.0
3088,Hennur Road,1832.0,3.0,1.0,116.0,3.0
3089,Hennur Road,2050.0,3.0,2.0,120.0,3.0
3090,Hennur Road,1445.0,2.0,2.0,86.69,3.0
3091,Hennur Road,1445.0,2.0,1.0,83.0,3.0
3092,Hennur Road,1679.0,3.0,2.0,94.86,3.0
3094,Hennur Road,1654.0,3.0,2.0,97.8,3.0
3095,Hennur Road,1480.0,3.0,2.0,100.0,3.0
3096,Hennur Road,1450.0,3.0,1.0,88.6,3.0
3097,Hennur Road,1155.0,2.0,1.0,69.18,2.0
3100,Hennur Road,1904.0,3.0,2.0,129.0,3.0
3101,Hennur Road,1981.0,3.0,1.0,134.0,3.0
3102,Hennur Road,1155.0,2.0,1.0,69.18,2.0
3104,Hennur Road,1590.0,3.0,2.0,105.0,3.0
3105,Hennur Road,2041.0,3.0,3.0,138.0,3.0
3106,Hennur Road,1100.0,2.0,1.0,78.0,3.0
3107,Hennur Road,1880.0,4.0,0.0,154.0,4.0
3108,Hennur Road,1232.0,2.0,1.0,69.61,2.0
3109,Hennur Road,1748.0,3.0,2.0,103.0,3.0
3110,Hennur Road,1460.0,2.0,1.0,80.3,2.0
3111,Hennur Road,1933.0,3.0,2.0,140.0,3.0
3113,Hennur Road,1232.0,2.0,1.0,69.61,2.0
3114,Hennur Road,1450.0,3.0,2.0,79.0,3.0
3115,Hennur Road,1445.0,2.0,1.0,89.56,3.0
3117,Hennur Road,1482.0,2.0,1.0,83.73,3.0
3118,Hennur Road,1305.0,2.0,1.0,77.0,3.0
3120,Hennur Road,1165.0,2.0,1.0,67.0,2.0
3122,Hennur Road,1232.0,2.0,1.0,80.0,2.0
3124,Hennur Road,950.0,2.0,1.0,55.0,2.0
3126,Hennur Road,1891.0,3.0,1.0,110.0,3.0
3130,Hennur Road,1450.0,2.0,2.0,80.0,2.0
3131,Hennur Road,1155.0,2.0,1.0,69.18,2.0
3132,Hennur Road,1936.0,3.0,1.0,131.0,3.0
3133,Hoodi,985.0,2.0,2.0,67.0,2.0
3134,Hoodi,1715.0,2.0,2.0,95.0,3.0
3136,Hoodi,1425.0,2.0,2.0,80.0,2.0
3138,Hoodi,1639.0,3.0,2.0,110.0,3.0
3139,Hoodi,1606.0,3.0,3.0,89.55,3.0
3140,Hoodi,1639.0,3.0,1.0,98.32,3.0
3143,Hoodi,1026.0,2.0,1.0,60.87,2.0
3145,Hoodi,1400.0,2.0,1.0,78.0,2.0
3147,Hoodi,1196.0,2.0,0.0,71.74,2.0
3148,Hoodi,1553.0,3.0,2.0,83.09,3.0
3149,Hoodi,1500.0,2.0,1.0,84.0,2.0
3150,Hoodi,1055.0,2.0,1.0,57.63,2.0
3151,Hoodi,1925.0,2.0,3.0,114.0,3.0
3152,Hoodi,1400.0,2.0,1.0,82.0,2.0
3154,Hoodi,706.0,1.0,1.0,48.24,1.0
3155,Hoodi,1257.0,2.0,1.0,69.0,2.0
3156,Hoodi,1132.0,2.0,0.0,67.9,2.0
3157,Hoodi,1925.0,3.0,3.0,110.0,3.0
3158,Hoodi,1769.0,3.0,3.0,96.87,3.0
3159,Hoodi,1257.0,2.0,1.0,71.03,2.0
3160,Hoodi,1305.0,2.0,1.0,75.0,2.0
3161,Hoodi,1490.0,3.0,2.0,79.0,3.0
3164,Hoodi,1108.0,2.0,1.0,74.23,2.0
3165,Hoodi,1257.0,2.0,1.0,68.5,2.0
3167,Hoodi,1063.0,2.0,1.0,61.17,2.0
3168,Hoodi,1259.0,2.0,2.0,69.45,2.0
3170,Hoodi,1715.0,2.0,2.0,100.0,3.0
3173,Hoodi,2144.0,3.0,2.0,140.0,3.0
3174,Hoodi,1108.0,2.0,0.0,66.46,2.0
3176,Hoodi,1837.0,3.0,1.0,110.0,3.0
3177,Hoodi,3385.0,4.0,1.0,220.0,4.0
3180,Hoodi,1490.0,3.0,0.0,85.0,3.0
3202,Horamavu Agara,625.0,1.0,1.0,27.0,1.0
3213,Horamavu Banaswadi,1460.0,2.0,1.0,80.5,2.0
3237,Hormavu,715.0,1.0,2.0,46.0,1.0
3240,Hormavu,1200.0,2.0,0.0,67.0,2.0
3241,Hormavu,1200.0,3.0,0.0,70.0,2.0
3243,Hormavu,1351.0,2.0,1.0,53.0,1.0
3248,Hormavu,1153.0,2.0,1.0,65.0,2.0
3258,Hormavu,1200.0,2.0,2.0,68.0,2.0
3260,Hormavu,1200.0,2.0,3.0,68.0,2.0
3268,Hormavu,1046.0,2.0,1.0,60.0,2.0
3269,Hormavu,1400.0,2.0,0.0,75.0,2.0
3275,Hormavu,1200.0,2.0,0.0,73.0,2.0
3286,Hormavu,1210.0,2.0,3.0,69.0,2.0
3292,Hosa Road,1430.0,2.0,1.0,97.52,2.0
3293,Hosa Road,1365.0,2.0,1.0,92.0,2.0
3296,Hosa Road,1332.0,2.0,1.0,86.12,3.0
3297,Hosa Road,615.0,1.0,1.0,28.29,1.0
3298,Hosa Road,1318.0,2.0,1.0,85.28,3.0
3299,Hosa Road,1513.0,3.0,1.0,103.0,3.0
3304,Hosa Road,1532.0,3.0,2.0,98.13,3.0
3305,Hosa Road,1680.0,3.0,1.0,101.0,3.0
3306,Hosa Road,880.0,2.0,0.0,50.0,2.0
3307,Hosa Road,1533.0,3.0,1.0,98.18,3.0
3308,Hosa Road,1040.0,2.0,1.0,68.59,2.0
3309,Hosa Road,1040.0,2.0,1.0,61.0,2.0
3312,Hosa Road,1311.0,2.0,1.0,84.86,3.0
3313,Hosa Road,1512.0,3.0,2.0,103.0,3.0
3318,Hosa Road,1360.0,2.0,1.0,77.61,2.0
3319,Hosa Road,1170.0,2.0,2.0,65.0,2.0
3321,Hosa Road,1470.0,2.0,2.0,84.22,3.0
3322,Hosa Road,1513.0,3.0,1.0,103.0,3.0
3327,Hosakerehalli,2378.0,3.0,1.0,262.0,3.0
3328,Hosakerehalli,2376.0,3.0,1.0,203.0,3.0
3329,Hosakerehalli,3205.0,5.0,1.0,380.0,4.0
3330,Hosakerehalli,3024.0,5.0,1.0,248.0,4.0
3331,Hosakerehalli,3024.0,5.0,1.0,350.0,4.0
3332,Hosakerehalli,2400.0,5.0,2.0,250.0,5.0
3333,Hosakerehalli,1817.0,4.0,2.0,153.0,3.0
3334,Hosakerehalli,1304.0,2.0,3.0,100.0,2.0
3335,Hosakerehalli,2480.0,3.0,2.0,245.0,3.0
3337,Hosakerehalli,2480.0,4.0,1.0,260.0,3.0
3339,Hosakerehalli,1200.0,2.0,1.0,100.0,3.0
3340,Hosakerehalli,3205.0,4.0,2.0,300.0,4.0
3341,Hosakerehalli,3033.0,4.0,1.0,326.0,4.0
3342,Hosakerehalli,600.0,2.0,0.0,65.0,2.0
3343,Hosakerehalli,2480.0,4.0,1.0,265.0,3.0
3345,Hosakerehalli,2376.0,3.0,1.0,240.0,3.0
3346,Hosakerehalli,1500.0,6.0,2.0,145.0,5.0
3361,Hoskote,509.0,1.0,1.0,23.0,1.0
3362,Hosur Road,1656.0,2.0,1.0,120.0,2.0
3363,Hosur Road,1194.0,2.0,0.0,69.0,2.0
3367,Hosur Road,1510.0,2.0,1.0,105.0,3.0
3368,Hosur Road,1427.0,2.0,1.0,80.63,3.0
3369,Hosur Road,1508.0,2.0,1.0,110.0,3.0
3370,Hosur Road,460.0,1.0,1.0,21.0,1.0
3373,Hosur Road,950.0,2.0,1.0,60.0,2.0
3374,Hosur Road,1194.0,2.0,1.0,71.64,2.0
3375,Hosur Road,1766.0,3.0,1.0,130.0,3.0
3376,Hosur Road,1689.0,3.0,1.0,103.0,3.0
3380,Hosur Road,1689.0,3.0,2.0,103.0,3.0
3382,Hosur Road,2000.0,4.0,1.0,130.0,4.0
3384,Hosur Road,1689.0,3.0,2.0,103.0,3.0
3386,Hosur Road,1685.0,3.0,1.0,90.0,3.0
3387,Hosur Road,1223.0,2.0,1.0,93.0,2.0
3389,Hosur Road,1919.0,3.0,2.0,117.0,3.0
3393,Hulimavu,1823.0,3.0,2.0,100.0,3.0
3396,Hulimavu,1100.0,2.0,2.0,71.5,2.0
3398,Hulimavu,688.0,1.0,2.0,50.0,1.0
3399,Hulimavu,1255.0,2.0,2.0,73.0,2.0
3402,Hulimavu,1375.0,2.0,2.0,80.0,2.0
3403,Hulimavu,1248.0,2.0,1.0,69.0,2.0
3404,Hulimavu,1818.0,3.0,1.0,135.0,3.0
3406,Hulimavu,1255.0,2.0,2.0,74.0,2.0
3408,Hulimavu,1255.0,2.0,2.0,69.0,2.0
3410,Hulimavu,3035.0,5.0,2.0,271.0,3.0
3411,Hulimavu,3035.0,5.0,3.0,220.0,3.0
3412,Hulimavu,1127.0,2.0,1.0,65.0,2.0
3415,Hulimavu,1200.0,2.0,0.0,75.0,2.0
3416,Hulimavu,1430.0,2.0,2.0,90.0,3.0
3421,Hulimavu,3560.0,5.0,3.0,318.0,4.0
3423,Hulimavu,1276.0,2.0,2.0,76.0,2.0
3424,Hulimavu,1500.0,2.0,0.0,90.0,2.0
3425,Hulimavu,1021.0,2.0,1.0,76.0,2.0
3426,Hulimavu,581.0,1.0,1.0,29.0,1.0
3428,Hulimavu,1050.0,2.0,2.0,125.0,2.0
3431,Hulimavu,1260.0,2.0,1.0,82.0,3.0
3432,Hulimavu,450.0,1.0,1.0,20.0,1.0
